taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2493969	Dicrurus paradiseus (Linnaeus, 1766)	2493969	Dicrurus paradiseus (Linnaeus, 1766)	568	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Dicruridae	9310	Dicrurus	2493960	Dicrurus paradiseus	2493969	LC
10792217	Ilex L.L.	10792217	Ilex L.L.	1	GENUS	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Aquifoliales	7226638	Aquifoliaceae	6716	Ilex	10792217			NE
2489005	Acridotheres tristis (Linnaeus, 1766)	2489005	Acridotheres tristis (Linnaeus, 1766)	2519	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Sturnidae	9350	Acridotheres	2489003	Acridotheres tristis	2489005	LC
5231279	Ficedula hyperythra (Blyth, 1843)	5231279	Ficedula hyperythra (Blyth, 1843)	356	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Muscicapidae	9322	Ficedula	2492596	Ficedula hyperythra	5231279	LC
2481800	Actitis hypoleucos (Linnaeus, 1758)	2481800	Actitis hypoleucos (Linnaeus, 1758)	3916	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Scolopacidae	5282	Actitis	2481797	Actitis hypoleucos	2481800	LC
2490283	Anthus cervinus (Pallas, 1811)	2490283	Anthus cervinus (Pallas, 1811)	410	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Motacillidae	5257	Anthus	2490241	Anthus cervinus	2490283	LC
2480899	Egretta sacra (Gmelin, 1789)	2480899	Egretta sacra (Gmelin, 1789)	582	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Pelecaniformes	7190953	Ardeidae	3685	Egretta	2480872	Egretta sacra	2480899	LC
2494500	Carpodacus thura Bonaparte & Schlegel, 1850	2494500	Carpodacus thura Bonaparte & Schlegel, 1850	24	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Fringillidae	5242	Carpodacus	2494445	Carpodacus thura	2494500	LC
7387276	Chrysocolaptes guttacristatus (Tickell, 1833)	7387276	Chrysocolaptes guttacristatus (Tickell, 1833)	97	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Piciformes	724	Picidae	9333	Chrysocolaptes	2478036	Chrysocolaptes guttacristatus	7387276	LC
7891543	Pellorneum rostratum (Blyth, 1842)	2493245	Trichastoma rostratum Blyth, 1842	41	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Pellorneidae	6100896	Trichastoma	2493242	Trichastoma rostratum	2493245	NT
2495486	Geopelia striata (Linnaeus, 1766)	2495486	Geopelia striata (Linnaeus, 1766)	243	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Columbiformes	1446	Columbidae	5233	Geopelia	2495485	Geopelia striata	2495486	LC
6100934	Sturnornis albofrontatus (E.L.Layard, 1854)	6100934	Sturnornis albofrontatus (E.L.Layard, 1854)	6	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Sturnidae	9350	Sturnornis	4844283	Sturnornis albofrontatus	6100934	VU
3768602	Acer carpinifolium Siebold & Zucc.	3768602	Acer carpinifolium Siebold & Zucc.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Sapindales	933	Sapindaceae	6657	Acer	3189834	Acer carpinifolium	3768602	LC
2552948	Aleurodiscus wakefieldiae Boidin & Beller	2552948	Aleurodiscus wakefieldiae Boidin & Beller	2	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Russulales	1144	Stereaceae	3279	Aleurodiscus	2523258	Aleurodiscus wakefieldiae	2552948	NE
5644228	Athyrium yokoscense (Franch. & Sav.) Christ	5644228	Athyrium yokoscense (Franch. & Sav.) Christ	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Polypodiopsida	7228684	Polypodiales	392	Athyriaceae	4922264	Athyrium	2650888	Athyrium yokoscense	5644228	NE
7315006	Corydalis repens Mandl & Muehld.	7315006	Corydalis repens Mandl & Muehld.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Ranunculales	399	Papaveraceae	2422	Corydalis	7576308	Corydalis repens	7315006	NE
1	Animalia	1	Animalia	7	KINGDOM	ACCEPTED	Animalia	1													NE
2481521	Calonectris diomedea (Scopoli, 1769)	2481521	Calonectris diomedea (Scopoli, 1769)	21	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Procellariiformes	7192755	Procellariidae	9339	Calonectris	2481517	Calonectris diomedea	2481521	LC
6101135	Trochalopteron variegatum (Vigors, 1831)	6101135	Trochalopteron variegatum (Vigors, 1831)	29	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Leiothrichidae	6101112	Trochalopteron	4843643	Trochalopteron variegatum	6101135	LC
3228749	Maribacter dokdonensis Yoon et al., 2005	3228749	Maribacter dokdonensis Yoon et al., 2005	1	SPECIES	ACCEPTED	Bacteria	3	Bacteroidota	10707955	Bacteroidia	7498440	Flavobacteriales	569	Flavobacteriaceae	8099	Maribacter	3228744	Maribacter dokdonensis	3228749	NE
2972983	Albizia julibrissin Durazz.	2972983	Albizia julibrissin Durazz.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Albizia	2972897	Albizia julibrissin	2972983	NE
4742408	Guignotus Houlbert, 1934	4407164	Hydroglyphus Motschulsky, 1853	3	GENUS	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Dytiscidae	7824	Hydroglyphus	4407164			
2702260	Sparganium L.	2702260	Sparganium L.	1	GENUS	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Typhaceae	4246	Sparganium	2702260			NE
4408790	Turdus atrogularis Jarocki, 1819	4408790	Turdus atrogularis Jarocki, 1819	75	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Turdidae	5290	Turdus	2490714	Turdus atrogularis	4408790	LC
2701869	Juncus maritimus Lam.	2701869	Juncus maritimus Lam.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Juncaceae	5353	Juncus	2701072	Juncus maritimus	2701869	NE
3928027	Clematis stans Siebold & Zucc.	3928027	Clematis stans Siebold & Zucc.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Ranunculales	399	Ranunculaceae	2410	Clematis	3033512	Clematis stans	3928027	NE
3930047	Aquilegia oxysepala Trautv. & C.A.Mey.	3930047	Aquilegia oxysepala Trautv. & C.A.Mey.	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Ranunculales	399	Ranunculaceae	2410	Aquilegia	3033167	Aquilegia oxysepala	3930047	NE
2457466	Telescopus fallax Fleischmann, 1831	2457466	Telescopus fallax Fleischmann, 1831	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Squamata	11592253			Colubridae	6172	Telescopus	2457425	Telescopus fallax	2457466	LC
8414676	Arabis serrata var. hallaisanensis (Nakai) Ohwi	5374875	Arabis serrata Franch. & Sav.	1	VARIETY	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Brassicales	7225535	Brassicaceae	3112	Arabis	5374837	Arabis serrata	5374875	
7341523	Phylloscopus humei humei	7341523	Phylloscopus humei humei	1	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Phylloscopidae	6100963	Phylloscopus	2493047	Phylloscopus humei	7341522	
2474156	Coturnix coturnix (Linnaeus, 1758)	2474156	Coturnix coturnix (Linnaeus, 1758)	146	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Galliformes	723	Phasianidae	9331	Coturnix	8725725	Coturnix coturnix	2474156	LC
2484724	Dicaeum trigonostigma (Scopoli, 1786)	2484724	Dicaeum trigonostigma (Scopoli, 1786)	118	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Dicaeidae	4287160	Dicaeum	2484686	Dicaeum trigonostigma	2484724	LC
5232251	Otus bakkamoena Pennant, 1769	5232251	Otus bakkamoena Pennant, 1769	57	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Strigiformes	1450	Strigidae	9348	Otus	2497654	Otus bakkamoena	5232251	LC
9752617	Ardea alba Linnaeus, 1758	9752617	Ardea alba Linnaeus, 1758	4231	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Pelecaniformes	7190953	Ardeidae	3685	Ardea	2480922	Ardea alba	9752617	LC
2493012	Cettia cetti (Temminck, 1820)	2493012	Cettia cetti (Temminck, 1820)	371	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Cettiidae	6100900	Cettia	2492997	Cettia cetti	2493012	LC
2486150	Pycnonotus sinensis (Gmelin, 1789)	2486150	Pycnonotus sinensis (Gmelin, 1789)	6783	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Pycnonotidae	5277	Pycnonotus	2486114	Pycnonotus sinensis	2486150	LC
2480567	Buteo hemilasius Temminck & Schlegel, 1844	2480567	Buteo hemilasius Temminck & Schlegel, 1844	106	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Accipitriformes	7191147	Accipitridae	2877	Buteo	2480517	Buteo hemilasius	2480567	LC
5788731	Anthreptes rhodolaemus Shelley, 1878	5788731	Anthreptes rhodolaemus Shelley, 1878	34	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Nectariniidae	5259	Anthreptes	2484629	Anthreptes rhodolaemus	5788731	NT
2484880	Sitta krueperi Pelzeln, 1863	2484880	Sitta krueperi Pelzeln, 1863	25	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Sittidae	5283	Sitta	2484878	Sitta krueperi	2484880	LC
2496890	Caprimulgus macrurus Horsfield, 1821	2496890	Caprimulgus macrurus Horsfield, 1821	110	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Caprimulgiformes	8510645	Caprimulgidae	5225	Caprimulgus	2496826	Caprimulgus macrurus	2496890	LC
2480350	Pelecanus onocrotalus Linnaeus, 1758	2480350	Pelecanus onocrotalus Linnaeus, 1758	180	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Pelecaniformes	7190953	Pelecanidae	9329	Pelecanus	10650925	Pelecanus onocrotalus	2480350	LC
9451184	Pavo cristatus Linnaeus, 1758	9451184	Pavo cristatus Linnaeus, 1758	293	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Galliformes	723	Phasianidae	9331	Pavo	2473598	Pavo cristatus	9451184	LC
9045043	Yungipicus canicapillus (Blyth, 1845)	9045043	Yungipicus canicapillus (Blyth, 1845)	734	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Piciformes	724	Picidae	9333	Yungipicus	4849474	Yungipicus canicapillus	9045043	NE
2493626	Lonchura malacca (Linnaeus, 1766)	2493626	Lonchura malacca (Linnaeus, 1766)	56	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Estrildidae	5709	Lonchura	2493593	Lonchura malacca	2493626	LC
2492851	Lanius vittatus Valenciennes, 1826	2492851	Lanius vittatus Valenciennes, 1826	92	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Laniidae	9315	Lanius	2483315	Lanius vittatus	2492851	LC
9039514	Curruca nana Hemprich & Ehrenberg, 1833	2492963	Sylvia nana (Hemprich & Ehrenberg, 1833)	27	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Sylviidae	5285	Sylvia	2492941	Sylvia nana	2492963	LC
5230729	Chloropsis cyanopogon (Temminck, 1830)	5230729	Chloropsis cyanopogon (Temminck, 1830)	67	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Chloropseidae	5789031	Chloropsis	2488919	Chloropsis cyanopogon	5230729	NT
2484691	Dicaeum agile (Tickell, 1833)	2484691	Dicaeum agile (Tickell, 1833)	141	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Dicaeidae	4287160	Dicaeum	2484686	Dicaeum agile	2484691	LC
5229044	Psittacula cyanocephala (Linnaeus, 1766)	5229044	Psittacula cyanocephala (Linnaeus, 1766)	255	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Psittaciformes	1445	Psittacidae	9340	Psittacula	2479192	Psittacula cyanocephala	5229044	LC
2492557	Muscicapa muttui (E.L.Layard, 1854)	2492557	Muscicapa muttui (E.L.Layard, 1854)	51	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Muscicapidae	9322	Muscicapa	2483240	Muscicapa muttui	2492557	LC
