taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
5846115	Hemixos cinereus (Blyth, 1845)	5846115	Hemixos cinereus (Blyth, 1845)	32	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Pycnonotidae	5277	Hemixos	2486186	Hemixos cinereus	5846115	LC
2493969	Dicrurus paradiseus (Linnaeus, 1766)	2493969	Dicrurus paradiseus (Linnaeus, 1766)	362	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Dicruridae	9310	Dicrurus	2493960	Dicrurus paradiseus	2493969	LC
2489005	Acridotheres tristis (Linnaeus, 1766)	2489005	Acridotheres tristis (Linnaeus, 1766)	3121	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Sturnidae	9350	Acridotheres	2489003	Acridotheres tristis	2489005	LC
5231279	Ficedula hyperythra (Blyth, 1843)	5231279	Ficedula hyperythra (Blyth, 1843)	321	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Muscicapidae	9322	Ficedula	2492596	Ficedula hyperythra	5231279	LC
2481800	Actitis hypoleucos (Linnaeus, 1758)	2481800	Actitis hypoleucos (Linnaeus, 1758)	4824	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Scolopacidae	5282	Actitis	2481797	Actitis hypoleucos	2481800	LC
2490283	Anthus cervinus (Pallas, 1811)	2490283	Anthus cervinus (Pallas, 1811)	618	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Motacillidae	5257	Anthus	2490241	Anthus cervinus	2490283	LC
2480899	Egretta sacra (Gmelin, 1789)	2480899	Egretta sacra (Gmelin, 1789)	781	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Pelecaniformes	7190953	Ardeidae	3685	Egretta	2480872	Egretta sacra	2480899	LC
7387276	Chrysocolaptes guttacristatus (Tickell, 1833)	7387276	Chrysocolaptes guttacristatus (Tickell, 1833)	63	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Piciformes	724	Picidae	9333	Chrysocolaptes	2478036	Chrysocolaptes guttacristatus	7387276	LC
2489018	Sarcops calvus (Linnaeus, 1766)	2489018	Sarcops calvus (Linnaeus, 1766)	20	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Sturnidae	9350	Sarcops	2489017	Sarcops calvus	2489018	LC
5232251	Otus bakkamoena Pennant, 1769	5232251	Otus bakkamoena Pennant, 1769	70	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Strigiformes	1450	Strigidae	9348	Otus	2497654	Otus bakkamoena	5232251	LC
